"Descripción del contrato","Entidad ","Contratista","Nomenclatura del proceso","Número del contrato","Objeto ","Moneda ","Monto ","Presupuesto ","CCP ","Previsión Presupuestal ","Fecha de suscripción del contrato","Fecha de inicio del contrato","Fecha fin del contrato","Estado"
"SERVICIO DE DISPOSICIÓN FINAL DE RESIDUOS SOLIDOS GENERADOS EN EL DISTRITO DE CHACLACAYO","20131368233-MUNICIPALIDAD DISTRITAL DE CHACLACAYO","20297566866-PETRAMAS S.A.C.","AS-SM-9-2021-MDCH-OEC-1","CONTRATO 01-2022-MDCH","SERVICIO","S/","312703.02","312703.02","312703.02","312703.02","10/01/2022","11/01/2022","02/01/2023","Publicado"
" SERVICIO DE ALQUILER DE IMPRESORAS MULTIFUNCIONALES","20131368233-MUNICIPALIDAD DISTRITAL DE CHACLACAYO","20100466709-COPISERVICE E I R L","AS-SM-7-2021-/MDCH-CS-2","ORDEN DE SERVICIO N° 089-2022","SERVICIO","S/","81600","81600","68000","13600","08/02/2022","09/02/2022","09/02/2023","Publicado"
"SERVICIO DE IMPRESIÓN DE 39 MILLARES DE CUPONERAS TAMAÑO 34X34 CM CON SOLAPA, PAPEL CUCHE DE 250 GR. IMPRESIÓN FULL COLOR TIRA Y RETIRA, ACABADO LAMINO MATE, TROQUELADO Y PEGADO PARA LA CUPONERA AÑO 2022 Y SERVICIO DE IMPRESIÓN DE 280 MILLARES DE PAPEL TRAMADO EN FORMATO A5, PAPEL BOND DE 90 GRAMOS, IMPRESIÓN UN COLOR-AÑO 2022","20131373661-MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - LIMA","20603288760-INKPACT GRAFICA INTEGRAL S.A.C.-INKPACT S.A.C.","COMPRE-SM-1-2022-OEC-MDI-1","335-2022","SERVICIO","S/","68900","68900","68900"," ","09/02/2022","10/02/2022","15/02/2022","Publicado"
"RECONSTRUCCIÓN DEL CANAL SOL Y CAMPO EN EL SECTOR SOL Y CAMPO ENTRE KM 0.000 - KM 1.345, Y CANAL ALTO SANTA ANA EN EL SECTOR SANTA ANA ENTRE KM 0.000 ¿ KM 1.541, EN EL DISTRITO DE RICARDO PALMA","20184353904-MUNICIPALIDAD DISTRITAL DE RICARDO PALMA","20529066521-CONSORCIO JESUS AMIGO","PEC-PROC-1-2021-MDRP-1","001-2022/MDRP","OBRA","S/","478945.8","478946","0","1250053.8","17/01/2022","01/02/2022","31/05/2022","Publicado"
"ADQUISICIÓN DE CEMENTO PORTLAND TIPO I PARA LA EJECUCIÓN DEL PROYECTO DE INVERSIÓN DENOMINADO: ""MEJORAMIENTO DE PISTAS Y VEREDAS TRAMO 1: AYACUCHO (ENTRE JR. FERROCARRIL Y JR. INDEPENDENCIA), TRAMO 2: JR. INDEPENDENCIA - DISTRITO DE SAN MATEO - PROVINCIA DE HUAROCHIRÍ - DEPARTAMENTO DE LIMA¿ CON CÓDIGO ÚNICO DE INVERSIÓN Nº 2521951","20196625608-MUNICIPALIDAD DISTRITAL DE SAN MATEO","10767528324-GARCIA ZAPATA ANGELY MEDALIN","SIE-SIE-2-2021-MDSM/CS-1","S/N","BIEN","S/","45900","45900","45900"," ","07/01/2022","08/01/2022","28/01/2022","Publicado"
"Adquisición de Licencias de Software Microsoft","20131371293-INSTITUTO PERUANO DE ENERGIA NUCLEAR","20543312232-SOFTLINE INTERNATIONAL PERU S.A.C.","LP-SM-2-2021-IPEN-1","N°001-2022-IPEN-ADMI","BIEN","S/","393567","393567","393567"," ","27/01/2022","28/01/2022","11/02/2022","Publicado"
"Adquisición de Cámaras de vigilancia para los pabellones A1, A2, A3, A4, A5 y A6 del GMML","20100164958-EMPRESA MUNICIPAL DE MERCADOS S.A.","20508553413-CONSORCIO SANTA ANITA","AS-SM-6-2021-EMMSA-1","Contrato N° 025-2022-EMMSA-GAJ","BIEN","S/","420000"," "," "," ","08/02/2022","09/02/2022","25/03/2022","Publicado"
" SERVICIO DE MEDICO OCUPACIONAL QUE BRINDE EL SERVICIO DE ATENCIÓN MEDICA OCUPACIONAL VIGILANCIA, PREVENCIÓN CONTROL Y SEGUIMIENTO DE CASOS COVID 19 DE LOS SERVIDORES DE LA CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE","20550734223-CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE","20601310032-ASSO CONSULTORES S.A.C. -  ASSO CONSUL S.A.C.","AS-SM-7-2021-OEC-CSJLN-PJ-2","CONTRATO N° 001-2022-P-CSJLN/PJ","SERVICIO","S/","135600","135600","116766.67","184433.33","19/01/2022","20/01/2022","19/01/2023","Publicado"
"SERVICIO DE ACCESO DE INTERNET Y SEGURIDAD GESTIONADA POR MEDIO DE FIBRA ÓPTICA PARA LA DIRIS LIMA NORTE","20602217508-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE","20546904106-NEXTNET S.A.C.","AS-SM-18-2021-DIRIS LN-1","ADJUDICACIÓN SIMPLIFICADA N° 018-2021-DIRIS LN","SERVICIO","S/","56611.68","56611.68","28305.84","138617.84","05/01/2022","04/02/2022","03/02/2024","Publicado"
"CONTRATACIÓN DE SERVICIO DE RACIONES ALIMENTARIAS PARA EL PERSONAL MÉDICO Y PACIENTES HOSPITALIZADOS DE LOS CENTROS DE OXIGENOTERAPIA ANCON, RIMAC, CARABAYLLO, PUENTE PIEDRA, INDEPENDENCIA, VILLA ESTELA Y HOSPITAL DE APOYO CARABAYLLO DE LA DIRIS LIMA NORTE","20602217508-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE","20550470901-UMAMI FOODS PERU S.A.C.","CP-SM-6-2021-DIRIS LN-1","CONTRATO N° 006-2022-MINSA/DIRIS.LN/3","SERVICIO","S/","681950.4","1363900.8","1363900.8","75850.8","01/02/2022","03/02/2022","02/08/2022","Publicado"
"SERVICIO DE ALOJAMIENTO CLOUD CON SEGURIDAD EN LA NUBE PARA EL SERVICIO DE TELEMEDICINA","20602217508-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE","20600930428-HOSTING LABS SOCIEDAD ANONIMA CERRADA","AS-SM-13-2021-DIRIS LN-2","CONTRATO N° 005-2022-MINSA/DIRIS.LN/3","SERVICIO","S/","53963.76","53963.76","53963.76","54058.56","12/01/2022","14/01/2022","13/01/2023","Publicado"
"uiuuu","20602217508-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE","10176251293-GARCIA DIAZ KATTY VANESSA","DIRECTA-PROC-25-2021-DIRIS-LN-1","yyyyyyyyyyy","SERVICIO","S/","248000"," "," "," ","06/01/2022","07/01/2022","31/01/2022","Publicado"
"Servicio de acondicionamiento de ambientes en el marco del covid-19 del centro de salud mental comunitario JOSEPH GERARD RUYS, distrito de SAN MARTIN DE PORRES, de la jurisdicción de la DIRIS LIMA NORTE","20602217508-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE","20605968164-GRUPO C & R CONTRATISTAS GENERALES S.A.C.","DIRECTA-PROC-22-2021-DIRIS LN-1","004-2021-MINSA/DIRIS.LN/3","SERVICIO","S/","166407.69"," "," "," ","06/01/2022","07/01/2022","31/01/2022","Publicado"
" Servicio de mantenimiento y mejoramiento de infraestructura en el marco del covid-19 del centro de salud mental comunitario WIÑAY, DISTRITO DE COMAS, de la jurisdicción de la DIRIS LIMA NORTE","20602217508-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE","10071294647-CONTRERAS CARRILLO ELBER IGNACIO","DIRECTA-PROC-21-2021-DIRIS LN-1","CONTRATO Nº 002-2022-MINSA/DIRIS.LN/3","SERVICIO","S/","330064.18"," "," "," ","06/01/2022","07/01/2022","31/01/2022","Publicado"
" SERVICIO DE RACIONES ALIMENTARIAS PARA LOS CENTROS MATERNOS INFANTILES (CMI) DE LA DIRIS LIMA NORTE","20602217508-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE","20604089612-GRUPO ROBLAS S.A.C.","DIRECTA-PROC-1-2022-DIRIS LN-1","CONTRATO Nº 07-2022MINSA/DIRIS.LN/3-","SERVICIO","S/","255999.8","255999.8","255999.8"," ","14/02/2022","15/02/2022","20/04/2022","Publicado"
"SUMINISTRO DE ALIMENTOS SIN FICHA TÉCNICA PARA EL CENTRO JUVENIL DE DIAGNÓSTICO Y  REHABILITACIÓN CUSCO - ÍTEM PAQUETE 3: FRUTAS, VERDURAS Y TUBÉRCULOS","20604920192-PROGRAMA NACIONAL DE CENTROS JUVENILES","10453985267-HUAYCHO CHINO ISIDORA","AS-SM-3-2021-JUS/PRONACEJ-2","003-2022","BIEN","S/","136082.4","272164.8","249484.4","45360.8","12/01/2022","13/01/2022","12/01/2023","Publicado"
"SUMINISTRO DE ALIMENTOS CON FICHA TÉCNICA PARA EL CENTRO  JUVENIL DE LIMA, SANTA MARGARITA Y ANEXO 03 DEL CENTRO JUVENIL DE  LIMA","20604920192-PROGRAMA NACIONAL DE CENTROS JUVENILES","20478217626-INVERSIONES JEANBE EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - INVERSIONES JEANBE E.I.R.L.","SIE-SIE-13-2021-JUS/PRONACEJ-1","0001-2022-JUS-PRONACEJ-UA ","BIEN","S/","473882.8","473882.8","434391.05","39491.75","07/01/2022","08/01/2022","07/01/2023","Publicado"
"SUMINISTRO DE ALIMENTOS CON FICHA TECNICA PARA EL CENTRO JUVENIL LIMA, SANTA MARGARIRA, ANEXO 03 DEL CENTRO JUVENIL DE LIMA ITEM PAQUETE 01","20604920192-PROGRAMA NACIONAL DE CENTROS JUVENILES","20478217626-INVERSIONES JEANBE EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - INVERSIONES JEANBE E.I.R.L.","SIE-SIE-13-2021-JUS/PRONACEJ-1","005-2022-PRONACEJ-UA ","BIEN","S/","101587.2","101587.2","84940.4","16646.8","08/02/2022","09/02/2022","08/02/2023","Publicado"
"SUMINISTRO DE ALIMENTOS CON FICHA TECNICA PARA EL CENTRO JUVENIL DE LIMA, SANTA MARGARITA Y ANEXO 03 DEL CENTRO JUVENIL DE LIMA ITEM PAQUETE 05","20604920192-PROGRAMA NACIONAL DE CENTROS JUVENILES","20601959951-DYLBA INGENIERIA S.A.C.","SIE-SIE-13-2021-JUS/PRONACEJ-1","004-2022","BIEN","S/","41000","41000","41000","0","13/01/2022","14/01/2022","13/01/2023","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20550133734-INVERSIONES EQUISERSA S.A.C.","CP-SM-42-2021-SEDAPAL-1","N° 016-2022-SEDAPAL","SERVICIO","S/","622000"," "," "," ","14/01/2022","27/01/2022","01/12/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20160644592-NEGOCIOS METALURGICOS S.A.C.","CP-SM-46-2021-SEDAPAL-1","N° 033-2022-SEDAPAL","SERVICIO","S/","667700"," "," "," ","21/01/2022","27/01/2022","27/01/2024","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20160644592-NEGOCIOS METALURGICOS S.A.C.","CP-SM-46-2021-SEDAPAL-1","N° 032-2022-SEDAPAL","SERVICIO","S/","739823.7"," "," "," ","21/01/2022","27/01/2022","27/01/2024","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20160644592-NEGOCIOS METALURGICOS S.A.C.","CP-SM-46-2021-SEDAPAL-1","N° ","SERVICIO","S/","386161.6"," "," "," ","21/01/2022","27/01/2022","27/01/2024","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20602273416-INVERSIONES AUTOMOTRIZ SALAS E.I.R.L.","CP-SM-46-2021-SEDAPAL-1","N° 024-2022-SEDAPAL","SERVICIO","S/","186830"," "," "," ","19/01/2022","28/01/2022","28/01/2024","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20600500105-INVERSIONES SAMIN S.A.C.","CP-SM-48-2021-SEDAPAL-1","N° 004-2022-SEDAPAL","SERVICIO","S/","638068"," "," "," ","06/01/2022","14/01/2022","28/02/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","10430059659-JARA GUERREROS GRIMM DANNY","LP-SM-18-2021-SEDAPAL-1","011-2022-SEDAPAL","BIEN","S/","99968"," "," "," ","07/01/2022","10/01/2022","10/03/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","10430059659-JARA GUERREROS GRIMM DANNY","LP-SM-18-2021-SEDAPAL-1","018-2022-SEDAPAL","BIEN","S/","54400"," "," "," ","14/01/2022","17/01/2022","28/02/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","10406562200-BRAÑEZ BARONA SANTIAGO PEDRO","LP-SM-18-2021-SEDAPAL-1","048-2022-SEDAPAL","BIEN","S/","29400"," "," "," ","31/01/2022","01/02/2022","11/03/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20167884491-PROSAC S.A.","LP-SM-18-2021-SEDAPAL-1","0031-2022-SEDAPAL","BIEN","S/","62422"," "," "," ","20/01/2022","21/01/2022","11/03/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20167884491-PROSAC S.A.","LP-SM-18-2021-SEDAPAL-1","049-2022-SEDAPAL","BIEN","S/","877035"," "," "," ","31/01/2022","01/02/2022","10/06/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20131529008-SEKUR PERU S.A.","LP-SM-18-2021-SEDAPAL-1","050-2022-SEDAPAL","BIEN","S/","87452.44"," "," "," ","01/02/2022","02/02/2022","10/06/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20601617286-AMBAR AGE S.A.C.","LP-SM-18-2021-SEDAPAL-1","041-2022-SEDAPAL","BIEN","S/","56400"," "," "," ","28/01/2022","31/01/2022","18/03/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","10076369939-LANAO SALVATIERRA MICHEL ALEXIS","LP-SM-18-2021-SEDAPAL-1","047-2022-SEDAPAL","BIEN","S/","93420.4"," "," "," ","01/02/2022","02/02/2022","31/03/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20340420803-HIDRAULICA Y OCEANOGRAFIA INGENIEROS CONSULTORES SA","AS-SM-54-2021-SEDAPAL-1","N° 426-2021-SEDAPAL","SERVICIO","S/","145000"," "," "," ","04/01/2022","06/01/2022","05/02/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20100375738-FABRIC Y REPRES COMERC S.A.-FARECO S.A.","LP-SM-21-2021-SEDAPAL-1","N° 007-2022-SEDAPAL","BIEN","S/","529438.04"," "," "," ","07/01/2022","14/01/2022","14/05/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20207216420-VIMAX S.R.LTDA","AS-SM-63-2021-SEDAPAL-1","N° 009-2022-SEDAPAL","SERVICIO","S/","397106.53"," "," "," ","06/01/2022","14/01/2022","14/01/2024","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","10102975613-TAVERA COLUGNA JAVIER OSWALDO","AS-SM-64-2021-SEDAPAL-1","012-2022-SEDAPAL","SERVICIO","S/","339840"," "," "," ","10/01/2022","11/01/2022","31/01/2024","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","10414836432-DE LA CRUZ GUTIERREZ EDGARD VLADIMIR","AS-SM-66-2021-SEDAPAL-1","N° 008-2021-SEDAPAL","SERVICIO","S/","247000"," "," "," ","06/01/2022","07/01/2022","07/04/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS ","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20602820239-CONSTRUCTORA A & P E.I.R.L.","AS-SM-70-2021-SEDAPAL-1","N° 005-2022-SEDAPAL","SERVICIO","S/","306800"," "," "," ","06/01/2022","13/01/2022","12/06/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS ","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20162086473-CELEIN S.R.L.","CP-SM-44-2021-SEDAPAL-1","N° 017-2022-SEDAPAL","SERVICIO","S/","588200"," "," "," ","14/01/2022","27/01/2022","26/06/2022","Publicado"
"CONTRATO DE SUMINISTRO DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20100312736-MERCANTIL S A","LP-SM-13-2021-SEDAPAL-1","043-2022-SEDAPAL","BIEN","$","17664700"," "," "," ","28/01/2022","31/01/2022","07/02/2025","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20602434517-CONSORCIO DELTA","CP-SM-58-2021-SEDAPAL-1","N° 038-2022-SEDAPAL","SERVICIO","S/","2423000"," "," "," ","26/01/2022","02/02/2022","02/02/2023","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20424887553-ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES S.A.C.","CP-SM-58-2021-SEDAPAL-1","N° 035-2022-SEDAPAL","SERVICIO","S/","1285000"," "," "," ","28/01/2022","04/02/2022","04/02/2025","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20101882706-METROPOLITAN SERVICE S.A.C.","AS-SM-74-2021-SEDAPAL-1","N° 027-2022-SEDAPAL","SERVICIO","S/","88000"," "," "," ","26/01/2022","02/02/2022","03/05/2022","Publicado"
"Servicio de Consultoría de Obra para la Elaboración del Estudio Definitivo y Expediente Técnico del Proyecto ¿Renovación de Red Secundaria, Conexiones Domiciliarias de Agua Potable y conexiones domiciliarias para alcantarillado; en el (la) Urb. Zárate distrito de San Juan de Lurigancho, Provincia Lima, Departamento Lima""","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20543698912-HM INGENIEROS CONSULTORES S.A.","CP-SM-64-2021-SEDAPAL-1","CONTRATO Nº 46-2022-SEDAPAL","CONSULTORIA","S/","1413984.26"," "," "," ","04/02/2022","10/02/2022","09/08/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20518629451-FK & JJ CONTRATISTAS GENERALES S.A.C.","AS-SM-71-2021-SEDAPAL-1","N° 001-2022-SEDAPAL","SERVICIO","S/","134497.41"," "," "," ","05/01/2022","14/01/2022","13/02/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20145038384-AQA QUIMICA SOCIEDAD ANONIMA","CP-SM-62-2021-SEDAPAL-1","N° 019-2022-SEDAPAL","SERVICIO","S/","1616458.24"," "," "," ","18/01/2022","21/01/2022","20/01/2025","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20518629451-FK & JJ CONTRATISTAS GENERALES S.A.C.","CP-SM-55-2021-SEDAPAL-1","N° 045-2022-SEDAPAL","SERVICIO","S/","934952.05"," "," "," ","31/01/2022","04/02/2022","09/06/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20554205055-MULTISERVICIOS TRANSPORTES & CONSTRUCCION S.R.L. - M T & CONSTRUCCION","CP-SM-66-2021-SEDAPAL-1","N° 039-2022-SEDAPAL","SERVICIO","S/","1445000"," "," "," ","27/01/2022","31/05/2022","31/08/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20601052084-JEMAR CONTRATISTAS GENERALES S.A.C.","CP-SM-59-2021-SEDAPAL-1","N° 023-2022-SEDAPAL","SERVICIO","S/","676776.96"," "," "," ","19/01/2022","01/02/2022","31/01/2024","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20111116025-ELECTRONIC INTERNATIONAL SECURITY S A","AS-SM-75-2021-SEDAPAL-1","N° 037-2022-SEDAPAL","BIEN","S/","188890"," "," "," ","26/01/2022","27/01/2022","18/06/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS ","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20555358921-DATAMEDIOS SA.C.","AS-SM-72-2021-SEDAPAL-1","N° 015-2022-SEDAPAL","SERVICIO","S/","97822"," "," "," ","13/01/2022","21/01/2022","21/05/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20111740438-SONEPAR PERU S.A.C.","AS-SM-5-2020-SEDAPAL-2","N° 427-2021-SEDAPAL","BIEN","S/","83236.63"," "," "," ","04/01/2022","05/01/2022","05/04/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20554205055-MULTISERVICIOS TRANSPORTES & CONSTRUCCION S.R.L. - M T & CONSTRUCCION","CP-SM-76-2021-SEDAPAL-1","N° 010-2022-SEDAPAL","SERVICIO","S/","5847687.82"," "," "," ","10/01/2022","12/01/2022","12/04/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20424887553-ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES S.A.C.","CP-SM-77-2021-SEDAPAL-1","N° 029-2022-SEDAPAL","SERVICIO","S/","1098100"," "," "," ","21/01/2022","27/01/2022","26/07/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20571603579-CONSORCIO EDIFICA 02","CP-SM-68-2021-SEDAPAL-1","N° 051-2022-SEDAPAL","SERVICIO","S/","611802.09"," "," "," ","03/02/2022","09/02/2022","10/05/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20543009645-QH INGENIERIA Y SERVICIOS S.A.C.","CP-SM-78-2021-SEDAPAL-1","N° 040-2022-SEDAPAL","SERVICIO","S/","420000"," "," "," ","27/01/2022","02/02/2022","02/02/2023","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20523268938-INFRAESTRUCTURAS ELECTRICAS SOCIEDAD ANONIMA CERRADA","AS-SM-79-2021-SEDAPAL-1","N° 026-2022-SEDAPAL","SERVICIO","S/","164111.75"," "," "," ","19/01/2022","27/01/2022","26/07/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20106897914-ENTEL PERU S.A.","CP-SM-81-2021-SEDAPAL-1","044-2022-SEDAPAL","SERVICIO","S/","1397862"," "," "," ","28/01/2022","31/01/2022","09/02/2024","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20538349730-KAESER COMPRESORES DE PERU S.R.L.","AS-SM-22-2021-SEDAPAL-3","N° 006-2022-SEDAPAL","BIEN","S/","229039.64"," "," "," ","10/01/2022","18/01/2022","07/06/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20424887553-ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES S.A.C.","AS-SM-83-2021-SEDAPAL-1","N° 030-2022-SEDAPAL","SERVICIO","S/","391200"," "," "," ","21/01/2022","27/01/2022","27/01/2023","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20100171814-HIDROSTAL S A","CP-SM-80-2021-SEDAPAL-1","054-2022-SEDAPAL","SERVICIO","S/","1640000"," "," "," ","08/02/2022","09/02/2022","26/08/2022","Publicado"
"CONTRATO DE PRESTACIÓN DE SERVICIOS","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20508123591-FS EDITORES S.A.C.","AS-SM-81-2021-SEDAPAL-1","014-2022-SEDAPAL","SERVICIO","S/","199880"," "," "," ","13/01/2022","14/01/2022","31/01/2023","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20512573160-BMP CONSULTING SOCIEDAD ANONIMA CERRADA","AS-SM-86-2021-SEDAPAL-1","N° 013-2022-SEDAPAL","BIEN","S/","134000"," "," "," ","12/01/2022","18/01/2022","29/04/2022","Publicado"
"CONTRATO DE ADQUISICIÓN DE BIENES","20100152356-SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","20508425091-IFLUTECH-DRILLMINE","AS-SM-33-2021-SEDAPAL-2","N° 021-2022-SEDAPAL","BIEN","S/","2359500"," "," "," ","18/01/2022","21/01/2022","20/07/2022","Publicado"
